名前,父,父父,父母,母,母父,母母,ウマ娘順,サイゲURL,wikiURL
タニノギムレット,ブライアンズタイム,Roberto,Kelley's_Day,タニノクリスタル,クリスタルパレス,タニノシーバード,83,https://umamusume.jp/character/taninogimlet,https://ja.wikipedia.org/wiki/タニノギムレット
デアリングタクト,エピファネイア,シンボリクリスエス,シーザリオ,デアリングバード,キングカメハメハ,デアリングハート,84,https://umamusume.jp/character/daringtact,https://ja.wikipedia.org/wiki/デアリングタクト
ホッコータルマエ,キングカメハメハ,Kingmambo,マンファス,マダムチェロキー,Cherokee_Run,アンフォイルド,85,https://umamusume.jp/character/hokkotarumae,https://ja.wikipedia.org/wiki/ホッコータルマエ
ワンダーアキュート,カリズマティック,Summer_Squall,Bali_Babe,ワンダーヘリテージ,Pleasant_Tap,Casa_Petrone,86,https://umamusume.jp/character/wonderacute,https://ja.wikipedia.org/wiki/ワンダーアキュート
ダイイチルビー,トウショウボーイ,テスコボーイ,ソシアルバターフライ,ハギノトップレディ,サンシー,イツトー,87,https://umamusume.jp/character/daiichiruby,https://ja.wikipedia.org/wiki/ダイイチルビー
ケイエスミラクル,Stutz_Blackhawk,Mr._Prospector,Sunny_Morning,レディベンドフエイジヤー,Never_Bend,Princess_Fager,88,https://umamusume.jp/character/ksmiracle,https://ja.wikipedia.org/wiki/ケイエスミラクル
メジロラモーヌ,モガミ,Lyphard,ノーラック,メジロヒリュウ,ネヴァービート,アマゾンウォリアー,89,https://umamusume.jp/character/mejiroramonu,https://ja.wikipedia.org/wiki/メジロラモーヌ
ジャングルポケット,トニービン,カンパラ,Severn_Bridge,ダンスチャーマー,Nureyev,Skillful_Joy,90,https://umamusume.jp/character/junglepocket,https://ja.wikipedia.org/wiki/ジャングルポケット
カツラギエース,ボイズィーボーイ,King's_Troop,Rising_Hope,タニノベンチヤ,ヴェンチア,アベイブリッジ,91,https://umamusume.jp/character/katsuragiace,https://ja.wikipedia.org/wiki/カツラギエース
ネオユニヴァース,サンデーサイレンス,Halo,Wishing_Well,ポインテッドパス,Kris,Silken_Way,92,https://umamusume.jp/character/neouniverse,https://ja.wikipedia.org/wiki/ネオユニヴァース
ヒシミラクル,サッカーボーイ,ディクタス,ダイナサッシュ,シュンサクヨシコ,シェイディハイツ,シュンサクレディ,93,https://umamusume.jp/character/hishimiracle,https://ja.wikipedia.org/wiki/ヒシミラクル
タップダンスシチー,Pleasant_Tap,Pleasant_Colony,Never_Knock,All_Dance,Northern_Dancer,All_Rainbows,94,https://umamusume.jp/character/tapdancecity,https://ja.wikipedia.org/wiki/タップダンスシチー
サウンズオブアース,ネオユニヴァース,サンデーサイレンス,ポインテッドパス,ファーストバイオリン,Dixieland_Band,Sunrise_Symphony,95,https://umamusume.jp/character/soundsofearth,https://ja.wikipedia.org/wiki/サウンズオブアース
ノースフライト,トニービン,カンパラ,Severn_Bridge,シヤダイフライト,ヒッティングアウェー,フォーワードフライト,96,https://umamusume.jp/character/northflight,https://ja.wikipedia.org/wiki/ノースフライト
ドゥラメンテ,キングカメハメハ,Kingmambo,マンファス,アドマイヤグルーヴ,サンデーサイレンス,エアグルーヴ,97,https://umamusume.jp/character/duramente,https://ja.wikipedia.org/wiki/ドゥラメンテ
