名前,ウマ娘順,サイゲURL,wikiURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ドゥラメンテ,97,https://umamusume.jp/character/duramente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,https://umamusume.jp/character/duramente,https://ja.wikipedia.org/wiki/ドゥラメンテ
ヴィルシーナ,98,https://umamusume.jp/character/verxina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,https://umamusume.jp/character/verxina,https://ja.wikipedia.org/wiki/ヴィルシーナ
ヴィブロス,99,https://umamusume.jp/character/vivlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,https://umamusume.jp/character/vivlos,https://ja.wikipedia.org/wiki/ヴィブロス
サムソンビッグ,100,https://umamusume.jp/character/samsonbig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,https://umamusume.jp/character/samsonbig,https://ja.wikipedia.org/wiki/サムソンビッグ
ロイスアンドロイス,101,https://umamusume.jp/character/royceandroyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,https://umamusume.jp/character/royceandroyce,https://ja.wikipedia.org/wiki/ロイスアンドロイス
シーザリオ,102,https://umamusume.jp/character/cesario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,https://umamusume.jp/character/cesario,https://ja.wikipedia.org/wiki/シーザリオ
ラインクラフト,103,https://umamusume.jp/character/rheinkraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,https://umamusume.jp/character/rheinkraft,https://ja.wikipedia.org/wiki/ラインクラフト
エアメサイア,104,https://umamusume.jp/character/airmessiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,https://umamusume.jp/character/airmessiah,https://ja.wikipedia.org/wiki/エアメサイア
デアリングハート,105,https://umamusume.jp/character/daringheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,https://umamusume.jp/character/daringheart,https://ja.wikipedia.org/wiki/デアリングハート
フリオーソ,106,https://umamusume.jp/character/furioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,https://umamusume.jp/character/furioso,https://ja.wikipedia.org/wiki/フリオーソ
トランセンド,107,https://umamusume.jp/character/transcend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,https://umamusume.jp/character/transcend,https://ja.wikipedia.org/wiki/トランセンド
エスポワールシチー,108,https://umamusume.jp/character/espoircity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,https://umamusume.jp/character/espoircity,https://ja.wikipedia.org/wiki/エスポワールシチー
ダンツフレーム,109,https://umamusume.jp/character/dantsuflame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,https://umamusume.jp/character/dantsuflame,https://ja.wikipedia.org/wiki/ダンツフレーム
ノーリーズン,110,https://umamusume.jp/character/noreason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,https://umamusume.jp/character/noreason,https://ja.wikipedia.org/wiki/ノーリーズン
スティルインラブ,111,https://umamusume.jp/character/stillinlove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,https://umamusume.jp/character/stillinlove,https://ja.wikipedia.org/wiki/スティルインラブ
オルフェーヴル,112,https://umamusume.jp/character/orfevre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,https://umamusume.jp/character/orfevre,https://ja.wikipedia.org/wiki/オルフェーヴル
ジェンティルドンナ,113,https://umamusume.jp/character/gentildonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,https://umamusume.jp/character/gentildonna,https://ja.wikipedia.org/wiki/ジェンティルドンナ
ウインバリアシオン,114,https://umamusume.jp/character/winvariation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,https://umamusume.jp/character/winvariation,https://ja.wikipedia.org/wiki/ウインバリアシオン
ドリームジャーニー,115,https://umamusume.jp/character/dreamjourney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,https://umamusume.jp/character/dreamjourney,https://ja.wikipedia.org/wiki/ドリームジャーニー
ブエナビスタ,116,https://umamusume.jp/character/buenavista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,https://umamusume.jp/character/buenavista,https://ja.wikipedia.org/wiki/ブエナビスタ
ビリーヴ,117,https://umamusume.jp/character/believe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,https://umamusume.jp/character/believe,https://ja.wikipedia.org/wiki/ビリーヴ
カルストンライトオ,118,https://umamusume.jp/character/calstonelighto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,https://umamusume.jp/character/calstonelighto,https://ja.wikipedia.org/wiki/カルストンライトオ
デュランダル,119,https://umamusume.jp/character/durandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,https://umamusume.jp/character/durandal,https://ja.wikipedia.org/wiki/デュランダル
バブルガムフェロー,120,https://umamusume.jp/character/bubblegumfellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,https://umamusume.jp/character/bubblegumfellow,https://ja.wikipedia.org/wiki/バブルガムフェロー
フサイチパンドラ,121,https://umamusume.jp/character/fusaichipandora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,https://umamusume.jp/character/fusaichipandora,https://ja.wikipedia.org/wiki/フサイチパンドラ
ブラストワンピース,122,https://umamusume.jp/character/blastonepiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,https://umamusume.jp/character/blastonepiece,https://ja.wikipedia.org/wiki/ブラストワンピース
